uuid,harassment,reason,message_id
fa8a159a-d306-43f9-aec6-dbd369736193,t,"The message is personal and insulting, not focusing on the quality of the work performed but rather on attributes of the person",1
fa8a159a-d306-43f9-aec6-dbd369736193,t,"Violent and graphic language is used. Had it been the second sentence only, would’ve not been harassment. ",2
fa8a159a-d306-43f9-aec6-dbd369736193,t,Personal attack,3
03d6b700-1a80-4eae-a66c-79140db93b1e,t,"",3
03d6b700-1a80-4eae-a66c-79140db93b1e,t,"",4
03d6b700-1a80-4eae-a66c-79140db93b1e,t,"",5
03d6b700-1a80-4eae-a66c-79140db93b1e,t,"",6
fa8a159a-d306-43f9-aec6-dbd369736193,f,"Vague and no real details or graphic nature, in isolation would not necessarily consider this as harassment",4
fa8a159a-d306-43f9-aec6-dbd369736193,f,"",7
fa8a159a-d306-43f9-aec6-dbd369736193,t,"Personal, graphic, attacking",8
fa8a159a-d306-43f9-aec6-dbd369736193,t,"Personal, uses slurs ",9
1f934b0b-c4b3-4130-a490-67d18601efab,t,"The entire tone of the message is pretty aggressive. ""You shall suffer for this"" sounds like a threat to me.",10
1f934b0b-c4b3-4130-a490-67d18601efab,t,"Yeah, this one is pretty clear harassment and has a pretty clear threat of physical violence in it.",11
1f934b0b-c4b3-4130-a490-67d18601efab,t,"This person obviously wan't to cause someone else harm (not physical in this case, but more emotional by pretending to be them online)",12
1f934b0b-c4b3-4130-a490-67d18601efab,t,"Removing a comment from a website isn't a protected thing, there's no law saying you can't do it. There is a law against DDOS though. So they're threatening to commit a crime, total harassment.",13
1f934b0b-c4b3-4130-a490-67d18601efab,t,Use of a derogatory term and calling someone a name.,14
1f934b0b-c4b3-4130-a490-67d18601efab,t,Lots of name calling and using all-caps insinuates shouting.,15
1f934b0b-c4b3-4130-a490-67d18601efab,t,"""why don't you die"" is a pretty aggressive thing to say to someone",16
1f934b0b-c4b3-4130-a490-67d18601efab,t,"",17
1f934b0b-c4b3-4130-a490-67d18601efab,t,"",18
1f934b0b-c4b3-4130-a490-67d18601efab,t,"",19
1f934b0b-c4b3-4130-a490-67d18601efab,f,"It's hard to say with this one without context. If the person literally came back from a fishing trip, then this would make sense. I'm gonna err on ""no"" for this one.",20
1f934b0b-c4b3-4130-a490-67d18601efab,t,"It was fine up until ""worth the dirt on my shoes"" which kinda degrades this persons point.",1
1f934b0b-c4b3-4130-a490-67d18601efab,t,Threat of physical violence,2
1f934b0b-c4b3-4130-a490-67d18601efab,f,"I dunno! This is one is hard to tell without context. It could be if it was aimed to cause someone harm, but it could be something said among friends who know each other really well and are being stupid.

In any case, it doesn't sound like a nice thing to say to someone.",5
1f934b0b-c4b3-4130-a490-67d18601efab,t,Name-calling.,6
1f934b0b-c4b3-4130-a490-67d18601efab,t,"Name calling ""motha fucka"" in this case.",7
1f934b0b-c4b3-4130-a490-67d18601efab,t,"It's a pretty hateful thing to say, there's nothing constructive in that comment.",8
1f934b0b-c4b3-4130-a490-67d18601efab,t,Name calling,9
1f934b0b-c4b3-4130-a490-67d18601efab,t,It seems like the intention here is to hurt someones feelings,3
1f934b0b-c4b3-4130-a490-67d18601efab,t,Sounds like a three to me,4
5325ce4c-c9e4-46a3-89da-cb2104cd67c9,t,"The... imagery? The absurd, repeated question.",5
5325ce4c-c9e4-46a3-89da-cb2104cd67c9,t,"The word ""kikes"". ""You shall suffer for this"".",10
5325ce4c-c9e4-46a3-89da-cb2104cd67c9,t,The violent threat,11
5325ce4c-c9e4-46a3-89da-cb2104cd67c9,f,Smiley face. Seems familiar and in-jest rather than threatening.,12
5325ce4c-c9e4-46a3-89da-cb2104cd67c9,f,"A toaster is not really DDOS-able, so this just comes off as an absurd (satirical) threat",13
